Season,Name,Team,PA,BABIP,LD,GB,FB,IFFB,GB/FB,HR/FB,IFH,IFH,BUH,BUH,O-Swing,Z-Swing,Swing,O-Contact,Z-Contact,Contact,Zone,F-Strike,SwStr,playerid
2010,Jose Bautista,Blue Jays,683,.233,14.4 ,31.1 ,54.5 ,14.9 ,0.57,21.7 ,12,8.5 ,0,0.0 ,24.1 ,62.8 ,41.7 ,68.7 ,86.3 ,80.7 ,45.3 ,56.1 ,7.7 ,1887
2006,Chipper Jones,Braves,477,.339,19.3 ,40.9 ,39.8 ,2.9 ,1.03,19.1 ,9,6.4 ,0,0.0 ,15.4 ,72.1 ,43.6 ,63.2 ,86.3 ,82.2 ,49.7 ,53.9 ,7.4 ,97
2007,Ryan Braun,Brewers,492,.361,16.3 ,38.8 ,44.9 ,7.8 ,0.86,22.1 ,12,9.0 ,1,100.0 ,30.6 ,71.4 ,52.0 ,55.7 ,84.3 ,76.3 ,52.5 ,60.6 ,12.1 ,3410
2004,Melvin Mora,Orioles,636,.371,22.1 ,39.1 ,38.8 ,9.2 ,1.01,15.5 ,11,6.3 ,7,46.7 ,13.9 ,64.2 ,40.9 ,55.4 ,84.9 ,80.2 ,53.6 ,54.3 ,7.9 ,157
2003,Manny Ramirez,Red Sox,679,.334,25.0 ,35.4 ,39.6 ,14.7 ,0.89,19.5 ,8,4.7 ,0,0.0 ,18.2 ,69.8 ,43.8 ,48.9 ,89.8 ,81.3 ,49.7 ,56.7 ,8.0 ,210
2006,Jim Thome,White Sox,610,.321,20.0 ,36.9 ,43.1 ,7.9 ,0.85,27.8 ,3,2.3 ,0,0.0 ,14.8 ,65.2 ,38.3 ,44.6 ,79.0 ,71.9 ,46.7 ,45.3 ,10.5 ,409
2002,Todd Helton,Rockies,668,.344,29.0 ,33.9 ,37.1 ,4.6 ,0.91,17.1 ,9,5.6 ,0,0.0 ,16.3 ,70.6 ,44.6 ,65.7 ,86.9 ,83.2 ,52.1 ,52.4 ,7.3 ,432
2007,Albert Pujols,Cardinals,679,.317,18.6 ,42.1 ,39.2 ,7.4 ,1.07,15.8 ,9,4.1 ,0,0.0 ,18.3 ,59.0 ,38.6 ,72.3 ,93.9 ,88.8 ,49.9 ,51.8 ,4.1 ,1177
2002,Vladimir Guerrero,Expos,709,.327,23.0 ,41.8 ,35.2 ,11.9 ,1.19,20.2 ,18,7.9 ,0,0.0 ,32.6 ,86.1 ,57.5 ,53.2 ,86.2 ,76.2 ,46.5 ,56.6 ,13.2 ,778
2003,Vladimir Guerrero,Expos,467,.328,21.7 ,44.3 ,33.9 ,17.9 ,1.31,21.4 ,8,5.2 ,0,0.0 ,34.8 ,83.4 ,55.1 ,58.3 ,87.3 ,76.6 ,41.7 ,57.2 ,12.3 ,778
