DATE,UNRATE,POP,PAYEMS,
6/1/87,6.2,242608,101872,
7/1/87,6.1,242804,102218,
8/1/87,6,243012,102388,
9/1/87,5.9,243223,102617,
10/1/87,6,243446,103109,
11/1/87,5.8,243639,103340,
12/1/87,5.7,243809,103634,
1/1/88,5.7,243981,103728,
2/1/88,5.7,244131,104180,
3/1/88,5.7,244279,104456,
4/1/88,5.4,244445,104701,
5/1/88,5.6,244610,104928,
6/1/88,5.4,244806,105291,
7/1/88,5.4,245021,105514,
8/1/88,5.6,245240,105635,
9/1/88,5.4,245464,105975,
10/1/88,5.4,245693,106243,
11/1/88,5.3,245884,106582,
12/1/88,5.3,246056,106871,
1/1/89,5.4,246224,107133,
2/1/89,5.2,246378,107391,
3/1/89,5,246530,107583,
4/1/89,5.2,246721,107756,
5/1/89,5.2,246906,107874,
6/1/89,5.3,247114,107991,
7/1/89,5.2,247342,108030,
8/1/89,5.2,247573,108077,
9/1/89,5.3,247816,108326,
10/1/89,5.3,248067,108437,
11/1/89,5.4,248281,108714,
12/1/89,5.4,248479,108809,
1/1/90,5.4,248659,109145,
2/1/90,5.3,248827,109394,
3/1/90,5.2,249012,109609,
4/1/90,5.4,249306,109650,
5/1/90,5.4,249565,109800,
6/1/90,5.2,249849,109822,
7/1/90,5.5,250132,109776,
8/1/90,5.7,250439,109570,
9/1/90,5.9,250751,109484,
10/1/90,5.9,251057,109325,
11/1/90,6.2,251346,109178,
12/1/90,6.3,251626,109120,
1/1/91,6.4,251889,108997,
2/1/91,6.6,252135,108692,
3/1/91,6.8,252372,108534,
4/1/91,6.7,252643,108322,
5/1/91,6.9,252913,108196,
6/1/91,6.9,253207,108286,
7/1/91,6.8,253493,108236,
8/1/91,6.9,253807,108255,
9/1/91,6.9,254126,108289,
10/1/91,7,254435,108305,
11/1/91,7,254718,108248,
12/1/91,7.3,254964,108272,
1/1/92,7.3,255214,108324,
2/1/92,7.4,255448,108257,
3/1/92,7.4,255703,108313,
4/1/92,7.4,255992,108472,
5/1/92,7.6,256285,108598,
6/1/92,7.8,256589,108659,
7/1/92,7.7,256894,108731,
8/1/92,7.6,257232,108872,
9/1/92,7.6,257548,108909,
10/1/92,7.3,257861,109088,
11/1/92,7.4,258147,109227,
12/1/92,7.4,258413,109440,
1/1/93,7.3,258679,109750,
2/1/93,7.1,258919,109991,
3/1/93,7,259152,109942,
4/1/93,7.1,259414,110251,
5/1/93,7.1,259680,110519,
6/1/93,7,259963,110693,
7/1/93,6.9,260255,110992,
8/1/93,6.8,260566,111154,
9/1/93,6.7,260867,111396,
10/1/93,6.8,261163,111676,
11/1/93,6.6,261425,111938,
12/1/93,6.5,261674,112250,
1/1/94,6.6,261919,112519,
2/1/94,6.6,262123,112722,
3/1/94,6.5,262352,113188,
4/1/94,6.4,262631,113538,
5/1/94,6.1,262877,113869,
6/1/94,6.1,263152,114179,
7/1/94,6.1,263436,114541,
8/1/94,6,263724,114839,
9/1/94,5.9,264017,115193,
10/1/94,5.8,264301,115400,
11/1/94,5.6,264559,115818,
12/1/94,5.5,264804,116094,
1/1/95,5.6,265044,116414,
2/1/95,5.4,265270,116621,
3/1/95,5.4,265495,116844,
4/1/95,5.8,265755,117005,
5/1/95,5.6,265998,116991,
6/1/95,5.6,266270,117223,
7/1/95,5.7,266557,117302,
8/1/95,5.7,266843,117577,
9/1/95,5.6,267152,117821,
10/1/95,5.5,267456,117971,
11/1/95,5.6,267715,118119,
12/1/95,5.6,267943,118251,
1/1/96,5.6,268151,118229,
2/1/96,5.5,268364,118664,
3/1/96,5.5,268595,118928,
4/1/96,5.6,268853,119090,
5/1/96,5.6,269108,119413,
6/1/96,5.3,269386,119694,
7/1/96,5.5,269667,119928,
8/1/96,5.1,269976,120127,
9/1/96,5.2,270284,120347,
10/1/96,5.2,270581,120594,
11/1/96,5.4,270878,120893,
12/1/96,5.4,271125,121061,
1/1/97,5.3,271360,121293,
2/1/97,5.2,271585,121595,
3/1/97,5.2,271821,121910,
4/1/97,5.1,272083,122201,
5/1/97,4.9,272342,122461,
6/1/97,5,272622,122718,
7/1/97,4.9,272912,123007,
8/1/97,4.8,273237,122996,
9/1/97,4.9,273553,123504,
10/1/97,4.7,273852,123844,
11/1/97,4.6,274126,124148,
12/1/97,4.7,274372,124452,
1/1/98,4.6,274626,124725,
2/1/98,4.6,274838,124919,
3/1/98,4.7,275047,125065,
4/1/98,4.3,275304,125344,
5/1/98,4.4,275564,125744,
